Angle,Brewers,Astros,Nationals,As,Orioles,Padres,Pirates,Indians,BlueJays,Mariners,Braves,Twins,Rays,Cubs,Yankees,Giants,Angels,Cardinals,Diamondbacks,Mets,Phillies ,Tigers,Rockies,Dodgers,RedSox,Rangers,Reds,WhiteSox,Royals,Marlins
-31,8,19,8,8,7,8,8,19,10,17,8,8,11,15,8,6,8,8,7.5,8,10,7,8,4,37,14,12,8,8,12
-30,8,25,8,15,7,8,8,19,10,8,8,8,11,11.5,8,6,8,8,7.5,8,11,9,8,8,37,8,12,8,8,12
-29,8,25,8,15,7,8,8,19,10,8,8,8,11,11.5,8,6,8,8,7.5,8,11,9,8,8,37,8,12,8,8,12
-28,8,25,8,15,7,8,8,19,10,8,8,8,11,11.5,8,6,8,8,7.5,8,11,9,8,8,37,8,12,8,8,12
-27,8,25,8,15,7,8,8,19,10,8,8,8,11,11.5,8,6,8,8,7.5,8,11,9,8,8,37,8,12,8,8,12
-26,8,25,8,15,7,8,8,19,10,8,8,8,11,11.5,8,6,8,8,7.5,8,11,9,8,8,37,8,12,8,8,12
-25,8,25,8,15,7,8,8,19,10,8,8,8,11,11.5,8,6,8,8,7.5,8,11,9,8,8,37,8,12,8,8,12
-24,8,25,8,15,7,8,8,19,10,8,8,8,11,11.5,8,6,8,8,7.5,8,11,9,8,8,37,8,12,8,8,12
-23,8,25,8,15,7,8,8,19,10,8,8,8,11,11.5,8,6,8,8,7.5,8,11,9,8,8,37,8,12,8,8,12
-22,8,25,8,15,7,8,8,19,10,8,8,8,11,11.5,8,6,8,8,7.5,8,11,9,8,8,37,8,12,8,8,12
-21,8,25,8,15,7,8,8,19,10,8,8,8,11,11.5,8,6,8,8,7.5,8,11,9,8,8,37,8,12,8,8,9
-20,8,25,8,15,7,8,8,19,10,8,8,8,11,11.5,8,6,8,8,7.5,8,11,9,8,8,37,8,12,8,8,9
-19,8,25,8,15,7,8,8,19,10,8,8,8,11,11.5,8,6,8,8,7.5,8,11,9,8,8,37,8,12,8,8,9
-18,8,25,8,15,7,8,8,19,10,8,8,8,11,11.5,8,6,8,8,7.5,8,11,9,8,8,37,8,12,8,8,9
-17,8,25,8,15,7,8,8,19,10,8,8,8,11,11.5,8,6,8,8,7.5,8,11,9,8,8,37,8,12,8,8,9
-16,8,25,8,15,7,8,8,19,10,8,8,8,11,11.5,8,6,8,8,7.5,8,11,9,8,8,37,8,12,8,8,9
-15,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,37,8,8,8,8,9
-14,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,37,8,8,8,8,9
-13,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,37,8,8,8,8,9
-12,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,37,8,8,8,8,9
-11,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,37,8,8,8,8,9
-10,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,37,8,8,8,8,9
-9,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,37,8,8,8,8,9
-8,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,37,8,8,8,8,9
-7,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
-6,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
-5,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
-4,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
-3,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
-2,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
-1,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
0,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
1,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
2,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
3,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
4,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
5,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
6,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
7,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
8,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
9,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
10,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
11,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
12,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
13,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
14,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
15,8,10,8,8,7,8,11,9,10,8,8,8,9,11.5,8,10.5,8,8,25,8,6,8,8,8,17,8,8,8,8,9
16,8,10,12,15,7,10,25,9,10,8,8,23,11,11.5,8,21,18,8,7.5,8,13,12,8,8,5,8,8,8,8,9
17,8,10,12,15,7,10,25,9,10,8,8,23,11,11.5,8,21,18,8,7.5,8,13,12,8,8,5,8,8,8,8,9
18,8,10,12,15,7,10,25,9,10,8,8,23,11,11.5,8,21,18,8,7.5,8,13,12,8,8,5,8,8,8,8,9
19,8,10,12,15,7,10,25,9,10,8,8,23,11,11.5,8,21,18,8,7.5,8,13,12,8,8,5,8,8,8,8,9
20,8,10,12,15,7,10,25,9,10,8,8,23,11,11.5,8,21,18,8,7.5,8,13,12,8,8,5,8,8,8,8,9
21,8,10,12,15,7,10,25,9,10,8,8,23,11,11.5,8,21,18,8,7.5,8,13,12,8,8,5,8,8,8,8,9
22,8,10,12,15,7,10,25,9,10,8,8,23,11,11.5,8,21,18,8,7.5,8,13,12,8,8,5,8,8,8,8,9
23,8,10,12,15,7,10,25,9,10,8,8,23,11,11.5,8,21,18,8,7.5,8,13,12,8,8,5,8,8,8,8,9
24,8,10,12,15,7,10,25,9,10,8,8,23,11,11.5,8,21,18,8,7.5,8,13,12,8,8,5,8,8,8,8,12
25,8,10,12,15,7,10,25,9,10,8,8,23,11,11.5,8,21,18,8,7.5,8,13,12,8,8,5,8,8,8,8,12
26,8,10,12,15,7,10,25,9,10,8,8,23,11,11.5,8,21,18,8,7.5,8,13,12,8,8,5,8,8,8,8,12
27,8,10,12,15,7,10,25,9,10,8,8,23,11,11.5,8,21,18,8,7.5,8,13,12,8,8,5,8,8,8,8,12
28,8,10,12,15,7,10,25,9,10,8,8,23,11,11.5,8,21,18,8,7.5,8,13,12,8,8,5,8,8,8,8,12
29,8,10,12,15,7,10,25,9,10,8,8,23,11,11.5,8,21,18,8,7.5,8,13,12,8,8,5,8,8,8,8,12
30,8,10,12,15,7,10,25,9,10,8,8,23,11,11.5,8,21,18,8,7.5,8,13,12,8,8,5,8,8,8,8,12
31,6,7,8,8,25,8,25,9,10,8,8,23,11,15,8,21,18,8,7.5,8,13,8,14,4,3,8,8,8,8,12
32,6,7,8,8,25,8,25,9,10,8,8,23,11,15,8,21,18,8,7.5,8,13,8,14,4,3,8,8,8,8,12
33,6,7,8,8,25,8,25,9,10,8,8,23,11,15,8,21,18,8,7.5,8,13,8,14,4,3,8,8,8,8,12
34,6,7,8,8,25,8,25,9,10,8,8,23,11,15,8,21,18,8,7.5,8,13,8,14,4,3,8,8,8,8,12
35,6,7,8,8,25,8,25,9,10,8,8,23,11,15,8,21,18,8,7.5,8,13,8,14,4,3,8,8,8,8,12
36,6,7,8,8,25,8,25,9,10,8,8,23,11,15,8,21,18,8,7.5,8,13,8,14,4,3,8,8,8,8,12
37,6,7,8,8,25,8,25,9,10,8,8,23,11,15,8,21,18,8,7.5,8,13,8,14,4,3,8,8,8,8,12
38,6,7,8,8,25,8,25,9,10,8,8,23,11,15,8,21,18,8,7.5,8,13,8,14,4,3,8,8,8,8,12
39,6,7,8,8,25,8,25,9,10,8,8,23,11,15,8,21,18,8,7.5,8,13,8,14,4,3,8,8,8,8,12
40,6,7,8,8,25,8,25,9,10,8,8,23,11,15,8,21,18,8,7.5,8,13,8,14,4,3,8,8,8,8,12
41,6,7,8,8,25,8,25,9,10,8,8,23,11,15,8,21,18,8,7.5,8,13,8,14,4,3,8,8,8,8,12
42,6,7,8,8,25,8,25,9,10,8,8,23,11,15,8,21,18,8,7.5,8,13,8,14,4,3,8,8,8,8,12
43,6,7,8,8,25,8,25,9,10,8,8,23,11,15,8,21,18,8,7.5,8,13,8,14,4,3,8,8,8,8,12
44,6,7,8,8,25,8,25,9,10,8,8,23,11,15,8,21,18,8,7.5,8,13,8,14,4,3,8,8,8,8,12
45,6,7,8,8,25,8,25,9,10,8,8,23,11,15,8,21,18,8,7.5,8,13,8,14,4,3,8,8,8,8,12
